,axa,axa_moto,atus_ksi,atus_vru,atus_moto,fis_hom
8a4880c028affff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c02d2ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c02d37fff,4.0,0.0,0.0,0.0,0.0,0.0
8a4880c02d97fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c02da7fff,3.0,0.0,0.0,0.0,0.0,0.0
8a4880c02db7fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c06d87fff,1.0,0.0,0.0,0.0,0.0,1.0
8a4880c1001ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c1002ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c100affff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c100f7fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c10167fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c1044ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c10797fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c107a7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c1085ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c1086ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c10bb7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c111a7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c1200ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c1204ffff,5.0,0.0,0.0,0.0,0.0,0.0
8a4880c12057fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c1205ffff,5.0,0.0,0.0,0.0,0.0,0.0
8a4880c1206ffff,3.0,0.0,0.0,0.0,0.0,0.0
8a4880c120cffff,5.0,0.0,0.0,0.0,0.0,0.0
8a4880c120dffff,53.0,0.0,0.0,0.0,0.0,0.0
8a4880c120e7fff,3.0,0.0,0.0,0.0,0.0,0.0
8a4880c120effff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c12307fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c12347fff,4.0,0.0,0.0,0.0,0.0,0.0
8a4880c1236ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c12377fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c12387fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c12397fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c123a7fff,4.0,0.0,0.0,0.0,0.0,0.0
8a4880c123b7fff,20.0,0.0,0.0,0.0,0.0,0.0
8a4880c1270ffff,4.0,0.0,0.0,0.0,0.0,0.0
8a4880c1271ffff,19.0,0.0,0.0,0.0,0.0,0.0
8a4880c1272ffff,5.0,0.0,0.0,0.0,0.0,0.0
8a4880c12767fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c12777fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c12a1ffff,3.0,0.0,0.0,0.0,0.0,0.0
8a4880c12a2ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c12a4ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c12a9ffff,3.0,0.0,0.0,0.0,0.0,0.0
8a4880c12b6ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c13d87fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c13d97fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c13db7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c1492ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c14977fff,5.0,0.0,0.0,0.0,0.0,0.0
8a4880c15037fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c1506ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c15117fff,0.0,0.0,0.0,0.0,0.0,1.0
8a4880c1514ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c151b7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c154affff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c15837fff,4.0,0.0,0.0,0.0,0.0,0.0
8a4880c15887fff,3.0,0.0,0.0,0.0,0.0,0.0
8a4880c158a7fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c158b7fff,4.0,0.0,0.0,0.0,0.0,0.0
8a4880c1590ffff,5.0,0.0,0.0,0.0,0.0,0.0
8a4880c1591ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c1592ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c15957fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c15977fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c15a07fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c15a0ffff,3.0,0.0,0.0,0.0,0.0,0.0
8a4880c15a2ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c15a47fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c15a5ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c15a6ffff,6.0,0.0,0.0,0.0,0.0,0.0
8a4880c15a9ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c15aa7fff,6.0,0.0,0.0,0.0,0.0,0.0
8a4880c15ac7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c15b5ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c15b9ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c15c0ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c15c2ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c15c47fff,5.0,0.0,0.0,0.0,0.0,0.0
8a4880c15c5ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c15c67fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c15c77fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c15ceffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c15d17fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c30827fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c30897fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c3089ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c30c0ffff,0.0,0.0,1.0,0.0,1.0,0.0
8a4880c30c2ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c30c37fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c30c47fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c30c57fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c30caffff,0.0,0.0,1.0,1.0,0.0,0.0
8a4880c30d0ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c30d17fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c30d1ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c30d27fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c30d4ffff,0.0,0.0,1.0,1.0,0.0,0.0
8a4880c30d77fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c30d87fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c30d97fff,0.0,0.0,1.0,1.0,0.0,0.0
8a4880c30da7fff,3.0,0.0,0.0,0.0,0.0,1.0
8a4880c30daffff,0.0,0.0,0.0,0.0,0.0,1.0
8a4880c3145ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c31477fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c314cffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c314effff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c3155ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c31c07fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c31d07fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c32017fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c3208ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c320affff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c320f7fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c32197fff,1.0,0.0,2.0,0.0,0.0,0.0
8a4880c3219ffff,0.0,0.0,0.0,0.0,0.0,2.0
8a4880c32217fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c32287fff,11.0,0.0,0.0,0.0,0.0,0.0
8a4880c3228ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c3229ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c322a7fff,5.0,0.0,0.0,0.0,0.0,0.0
8a4880c322b7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c322dffff,2.0,0.0,0.0,0.0,0.0,1.0
8a4880c3238ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c3239ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c323affff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c32607fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c32747fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c32767fff,2.0,0.0,0.0,0.0,0.0,1.0
8a4880c3276ffff,1.0,0.0,1.0,0.0,0.0,0.0
8a4880c3278ffff,0.0,0.0,0.0,0.0,0.0,1.0
8a4880c3295ffff,0.0,0.0,4.0,0.0,0.0,2.0
8a4880c32c1ffff,0.0,0.0,1.0,1.0,0.0,0.0
8a4880c32ceffff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c32d87fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c32d8ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c32da7fff,0.0,0.0,4.0,0.0,0.0,0.0
8a4880c32daffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c32db7fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c3320ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c332effff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c33497fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c3349ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c33a47fff,3.0,0.0,0.0,0.0,0.0,0.0
8a4880c33b4ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c34017fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34037fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34107fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c341affff,0.0,0.0,1.0,0.0,0.0,0.0
8a4880c3420ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c34227fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34237fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c3431ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c34517fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c34527fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c34547fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c345affff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c34607fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34637fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c34677fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c3469ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c346b7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c346c7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c346e7fff,1.0,0.0,6.0,0.0,0.0,0.0
8a4880c346f7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c3474ffff,0.0,0.0,2.0,0.0,0.0,0.0
8a4880c34997fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34c0ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34c27fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34c37fff,0.0,0.0,2.0,0.0,0.0,0.0
8a4880c34c47fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34c5ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34c77fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c34c97fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34caffff,0.0,0.0,0.0,0.0,0.0,1.0
8a4880c34cb7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c34d0ffff,0.0,0.0,0.0,0.0,0.0,1.0
8a4880c34d27fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34d47fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34d57fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c34d77fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34da7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c34daffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c35187fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c35467fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c3546ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c356affff,0.0,0.0,0.0,0.0,0.0,1.0
8a4880c35717fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c357affff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c3605ffff,6.0,0.0,0.0,0.0,0.0,2.0
8a4880c36087fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c360b7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c3611ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c36127fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c3615ffff,2.0,0.0,5.0,0.0,0.0,0.0
8a4880c3625ffff,0.0,0.0,0.0,0.0,0.0,1.0
8a4880c362affff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c3630ffff,0.0,0.0,0.0,0.0,0.0,1.0
8a4880c3632ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c3638ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c3639ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c363a7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c363b7fff,2.0,0.0,0.0,0.0,0.0,0.0
8a4880c36407fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c3640ffff,0.0,0.0,0.0,0.0,0.0,1.0
8a4880c36417fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c36437fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c36447fff,1.0,0.0,0.0,0.0,0.0,0.0
8a4880c3644ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c3645ffff,0.0,0.0,1.0,0.0,0.0,0.0
8a4880c36467fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c36477fff,0.0,0.0,0.0,0.0,0.0,0.0
8a4880c36497fff,0.0,0.0,1.0,0.0,0.0,0.0
