SINIESTRO,LAT,LON,TIPOVEH,ANIO,MES,HORA,ESTADO,CIUDAD,_archivo,lat,lon,tipoveh,moto
6051190,22.3089637,-97.8810842,Auto,2020,DICIEMBRE,13,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3089637,-97.8810842,AUTO,False
6050665,22.2517965,-97.8599115,Auto,2020,DICIEMBRE,16,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2517965,-97.8599115,AUTO,False
6053312,23.7581645,-99.1421364,Auto,2020,DICIEMBRE,17,TAMAULIPAS,VICTORIA,Seguridad_Vial_concatenado_Diciembre_2020.csv,23.7581645,-99.1421364,AUTO,False
6053514,22.2860124,-97.8888004,Auto,2020,DICIEMBRE,19,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2860124,-97.8888004,AUTO,False
6053355,23.7556900,-99.1735300,Auto,2020,DICIEMBRE,21,TAMAULIPAS,VICTORIA,Seguridad_Vial_concatenado_Diciembre_2020.csv,23.75569,-99.17353,AUTO,False
6053356,22.2881619,-97.8441629,Auto,2020,DICIEMBRE,21,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2881619,-97.8441629,AUTO,False
6052085,22.2638927,-97.8499958,Auto,2020,DICIEMBRE,9,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2638927,-97.8499958,AUTO,False
6052958,22.3048404,-97.8942287,Auto,2020,DICIEMBRE,10,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3048404,-97.8942287,AUTO,False
6053400,22.2401903,-97.8702040,Auto,2020,DICIEMBRE,12,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2401903,-97.870204,AUTO,False
6053863,22.2674108,-97.8553184,Auto,2020,DICIEMBRE,13,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2674108,-97.8553184,AUTO,False
6053881,22.2842132,-97.8539073,Auto,2020,DICIEMBRE,14,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2842132,-97.8539073,AUTO,False
6053928,22.2521431,-97.8502458,CamiÃ³n Ligero,2020,DICIEMBRE,14,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2521431,-97.8502458,CAMIA3N LIGERO,False
6053940,22.2519434,-97.8539607,CamiÃ³n,2020,DICIEMBRE,16,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2519434,-97.8539607,CAMIA3N,False
6054419,22.2672090,-97.8445621,Auto,2020,DICIEMBRE,18,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.267209,-97.8445621,AUTO,False
6053681,22.3683989,-97.9004636,Auto,2020,DICIEMBRE,19,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3683989,-97.9004636,AUTO,False
6054376,22.3108229,-97.8719352,Motocicleta,2020,DICIEMBRE,23,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3108229,-97.8719352,MOTOCICLETA,True
6055035,22.2596471,-97.8389939,Motocicleta,2020,DICIEMBRE,13,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2596471,-97.8389939,MOTOCICLETA,True
6055250,22.2877746,-97.8703091,Auto,2020,DICIEMBRE,15,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2877746,-97.8703091,AUTO,False
6055333,22.2452626,-97.8358975,Auto,2020,DICIEMBRE,16,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2452626,-97.8358975,AUTO,False
6053955,22.2487879,-97.8742221,Auto,2020,DICIEMBRE,17,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2487879,-97.8742221,AUTO,False
6055363,22.2679669,-97.8419727,Auto,2020,DICIEMBRE,19,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2679669,-97.8419727,AUTO,False
6055379,22.2832936,-97.8878056,Auto,2020,DICIEMBRE,20,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2832936,-97.8878056,AUTO,False
6053998,23.7414975,-99.1433966,Auto,2020,DICIEMBRE,10,TAMAULIPAS,VICTORIA,Seguridad_Vial_concatenado_Diciembre_2020.csv,23.7414975,-99.1433966,AUTO,False
6051478,22.2549709,-97.8734036,CamiÃ³n,2020,DICIEMBRE,11,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2549709,-97.8734036,CAMIA3N,False
6055560,22.2766797,-97.8790114,Auto,2020,DICIEMBRE,11,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2766797,-97.8790114,AUTO,False
