,axa,axa_moto,atus_ksi,atus_vru,atus_moto,fis_hom
8948b069003ffff,1.0,0.0,2.0,1.0,0.0,0.0
8948b069007ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b06900bffff,0.0,0.0,1.0,1.0,0.0,0.0
8948b06900fffff,1.0,0.0,1.0,1.0,0.0,0.0
8948b069047ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b06904fffff,0.0,0.0,0.0,0.0,0.0,1.0
8948b069053ffff,0.0,0.0,0.0,0.0,0.0,1.0
8948b069057ffff,0.0,0.0,4.0,0.0,3.0,0.0
8948b06906fffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b06907bffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b0690c3ffff,0.0,0.0,1.0,1.0,0.0,0.0
8948b0690d7ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b06910fffff,1.0,0.0,2.0,0.0,0.0,0.0
8948b069117ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b069123ffff,2.0,0.0,0.0,0.0,0.0,0.0
8948b06912bffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b06913bffff,2.0,0.0,4.0,0.0,0.0,0.0
8948b069163ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b069167ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b06916fffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b069177ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b069187ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b069193ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b0691a3ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b0691abffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b0691b7ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b069207ffff,5.0,0.0,17.0,3.0,3.0,0.0
8948b06920bffff,1.0,0.0,0.0,0.0,0.0,1.0
8948b06920fffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b069217ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b06921bffff,2.0,0.0,1.0,1.0,0.0,0.0
8948b069227ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b06922bffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b06922fffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b069237ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b06923bffff,3.0,0.0,1.0,0.0,0.0,0.0
8948b069243ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b069247ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b06924bffff,1.0,0.0,2.0,0.0,0.0,0.0
8948b06924fffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b069253ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b069257ffff,2.0,0.0,0.0,0.0,0.0,0.0
8948b06925bffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b069263ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b069267ffff,2.0,0.0,6.0,0.0,0.0,1.0
