,axa,axa_moto,atus_ksi,atus_vru,atus_moto,fis_hom
8a48b02c90e7fff,0.0,0.0,0.0,0.0,0.0,1.0
8a48b02ca39ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b02ca44ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02ca4cffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02ca627fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02ca62ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02ca637fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02ca747fff,0.0,0.0,0.0,0.0,0.0,1.0
8a48b02ca75ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02ca76ffff,0.0,0.0,0.0,0.0,0.0,1.0
8a48b02ca787fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02ca797fff,0.0,0.0,1.0,1.0,0.0,0.0
8a48b02ca7affff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02ca997fff,0.0,0.0,0.0,0.0,0.0,2.0
8a48b02cb287fff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b02cb38ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02cb3a7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02cb3affff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02cb607fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02cb60ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02cbc5ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02d9b0ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02d9b1ffff,0.0,0.0,1.0,0.0,0.0,0.0
8a48b02d9b27fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02d9b37fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02da0affff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b02da8c7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b02da947fff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b02dab8ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b02db627fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02db717fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b02de247fff,0.0,0.0,0.0,0.0,0.0,1.0
8a48b02de2dffff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b148420ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b14847affff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b1486a27fff,0.0,0.0,0.0,0.0,0.0,1.0
8a48b1486c87fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b1486c97fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b1486cc7fff,0.0,0.0,0.0,0.0,0.0,1.0
8a48b1486ceffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b14a4daffff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b14aaa67fff,0.0,0.0,0.0,0.0,0.0,1.0
8a48b14aaa77fff,0.0,0.0,0.0,0.0,0.0,1.0
8a48b14aac07fff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b14b026ffff,0.0,0.0,0.0,0.0,0.0,1.0
8a48b14b040ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b14b0457fff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b14b0527fff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b14b0537fff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b14b061ffff,0.0,0.0,0.0,0.0,0.0,1.0
8a48b14b06c7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b14b0867fff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b14b089ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b14b08f7fff,2.0,0.0,0.0,0.0,0.0,0.0
8a48b14b0cc7fff,0.0,0.0,3.0,0.0,0.0,0.0
