,axa,axa_moto,atus_ksi,atus_vru,atus_moto,fis_hom
8a499b08018ffff,0.0,0.0,1.0,0.0,0.0,0.0
8a499b08038ffff,0.0,0.0,3.0,0.0,0.0,0.0
8a499b0803b7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b080d8ffff,0.0,0.0,2.0,0.0,0.0,0.0
8a499b084407fff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b08442ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b084467fff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b08450ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b084557fff,0.0,0.0,4.0,1.0,0.0,0.0
8a499b084797fff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b084807fff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b084c5ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b086b6ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b090b37fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b094a0ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b094b47fff,0.0,0.0,0.0,0.0,0.0,1.0
8a499b095487fff,0.0,0.0,0.0,0.0,0.0,1.0
8a499b096587fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0a2407fff,0.0,0.0,1.0,1.0,0.0,0.0
8a499b0a240ffff,0.0,0.0,0.0,0.0,0.0,1.0
8a499b0a2487fff,0.0,0.0,1.0,0.0,0.0,0.0
8a499b0a248ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0a24b7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0a24dffff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0a2527fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0a25affff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0a27affff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0a6417fff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0a64c7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0a64effff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0027fff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0047fff,2.0,0.0,1.0,0.0,1.0,0.0
8a499b0b004ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0057fff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0b005ffff,6.0,0.0,8.0,0.0,1.0,0.0
8a499b0b0067fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b006ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a499b0b009ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a499b0b00c7fff,2.0,0.0,0.0,0.0,0.0,0.0
8a499b0b00d7fff,3.0,0.0,0.0,0.0,0.0,0.0
8a499b0b00effff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b00f7fff,3.0,0.0,1.0,1.0,0.0,0.0
8a499b0b011ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0127fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0147fff,5.0,0.0,0.0,0.0,0.0,0.0
8a499b0b015ffff,3.0,0.0,0.0,0.0,0.0,0.0
8a499b0b016ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0177fff,6.0,0.0,0.0,0.0,0.0,0.0
8a499b0b021ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0287fff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0b02a7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b02b7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0327fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0337fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0387fff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0b03affff,2.0,0.0,0.0,0.0,0.0,0.0
8a499b0b03b7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b040ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b042ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0447fff,3.0,0.0,13.0,1.0,3.0,0.0
8a499b0b0457fff,9.0,0.0,0.0,0.0,0.0,0.0
8a499b0b045ffff,6.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0467fff,8.0,0.0,0.0,0.0,0.0,0.0
8a499b0b046ffff,7.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0477fff,0.0,0.0,2.0,0.0,1.0,0.0
8a499b0b0487fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b048ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0497fff,0.0,0.0,0.0,0.0,0.0,1.0
8a499b0b04c7fff,3.0,0.0,0.0,0.0,0.0,0.0
8a499b0b04e7fff,25.0,0.0,1.0,0.0,0.0,0.0
8a499b0b04effff,6.0,0.0,0.0,0.0,0.0,0.0
8a499b0b04f7fff,3.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0547fff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0b054ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a499b0b055ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0597fff,3.0,0.0,0.0,0.0,0.0,0.0
8a499b0b05affff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b066ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0697fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b069ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b06b7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0757fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0807fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0817fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b081ffff,3.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0837fff,3.0,0.0,1.0,0.0,0.0,0.0
8a499b0b085ffff,0.0,0.0,1.0,1.0,0.0,0.0
8a499b0b086ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0877fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0887fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b088ffff,2.0,0.0,2.0,0.0,0.0,0.0
8a499b0b0897fff,2.0,0.0,1.0,0.0,0.0,0.0
8a499b0b089ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a499b0b08affff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b08c7fff,4.0,0.0,4.0,0.0,0.0,0.0
8a499b0b08cffff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0b08d7fff,2.0,0.0,0.0,0.0,0.0,0.0
8a499b0b08dffff,2.0,0.0,3.0,1.0,0.0,0.0
8a499b0b08e7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b08effff,2.0,0.0,0.0,0.0,0.0,0.0
8a499b0b08f7fff,7.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0907fff,7.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0917fff,5.0,0.0,1.0,1.0,0.0,0.0
8a499b0b091ffff,8.0,0.0,1.0,1.0,0.0,0.0
8a499b0b0927fff,0.0,0.0,1.0,0.0,1.0,0.0
8a499b0b092ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0937fff,3.0,0.0,0.0,0.0,0.0,0.0
8a499b0b094ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0967fff,1.0,0.0,1.0,1.0,0.0,0.0
8a499b0b096ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0987fff,4.0,0.0,0.0,0.0,0.0,0.0
8a499b0b098ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0997fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b099ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b09a7fff,3.0,0.0,0.0,0.0,0.0,0.0
8a499b0b09affff,4.0,0.0,0.0,0.0,0.0,0.0
8a499b0b09b7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0a1ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0a27fff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0a47fff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0a4ffff,1.0,0.0,3.0,0.0,2.0,0.0
8a499b0b0a57fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0a77fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0aa7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0aaffff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0ac7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0ad7fff,0.0,0.0,1.0,0.0,0.0,0.0
8a499b0b0af7fff,0.0,0.0,0.0,0.0,0.0,1.0
8a499b0b0b07fff,1.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0b0ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a499b0b0b17fff,0.0,0.0,0.0,0.0,0.0,0.0
