SINIESTRO,LAT,LON,TIPOVEH,ANIO,MES,HORA,ESTADO,CIUDAD,_archivo,lat,lon,tipoveh,moto,urbano,en_rect,ciudad_std
4995422.0,22.2788216,-97.8809649,Auto,2019,ENERO,20,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2788216,-97.8809649,AUTO,False,True,True,TAMPICO
4995722.0,21.6871745,-97.8500625,Auto,2019,ENERO,7,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,21.6871745,-97.8500625,AUTO,False,False,False,TAMPICO
4995538.0,22.2489786,-97.865014,Auto,2019,ENERO,17,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2489786,-97.865014,AUTO,False,True,True,TAMPICO
4996349.0,22.2979382,-97.8912994,Auto,2019,ENERO,9,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2979382,-97.8912994,AUTO,False,True,True,TAMPICO
4996450.0,22.271114,-97.8681033,Cami?n Ligero,2019,ENERO,9,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.271114,-97.8681033,CAMI?N LIGERO,False,True,True,TAMPICO
4996460.0,22.3017546,-97.8916058,Camión,2019,ENERO,9,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3017546,-97.8916058,CAMION,False,True,True,TAMPICO
4997000.0,22.2203993,-97.8537415,Motocicleta,2019,ENERO,14,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2203993,-97.8537415,MOTOCICLETA,True,True,True,TAMPICO
4997332.0,22.2849603,-97.8905402,Auto,2019,ENERO,14,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2849603,-97.8905402,AUTO,False,True,True,TAMPICO
4997428.0,22.2744245,-97.867053,Auto,2019,ENERO,16,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2744245,-97.867053,AUTO,False,True,True,TAMPICO
4997453.0,22.2276723,-97.8649447,Auto,2019,ENERO,16,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2276723,-97.8649447,AUTO,False,True,True,TAMPICO
4998001.0,22.2540137,-97.8325903,Auto,2019,ENERO,21,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2540137,-97.8325903,AUTO,False,False,True,TAMPICO
4998080.0,22.2128884,-97.8524889,Auto,2019,ENERO,6,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2128884,-97.8524889,AUTO,False,True,True,TAMPICO
4997027.0,22.260739,-97.833752,Auto,2019,ENERO,8,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.260739,-97.833752,AUTO,False,False,True,TAMPICO
4998617.0,22.2664549,-97.873915,Auto,2019,ENERO,12,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2664549,-97.873915,AUTO,False,True,True,TAMPICO
4998665.0,22.3168384,-97.8842455,Auto,2019,ENERO,12,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3168384,-97.8842455,AUTO,False,True,True,TAMPICO
4999629.0,22.2703628,-97.8741272,Auto,2019,ENERO,18,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2703628,-97.8741272,AUTO,False,True,True,TAMPICO
4997054.0,22.2861224,-97.8679355,Auto,2019,ENERO,20,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2861224,-97.8679355,AUTO,False,True,True,TAMPICO
4999979.0,22.2646621,-97.8530245,Auto,2019,ENERO,0,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2646621,-97.8530245,AUTO,False,False,True,TAMPICO
5000706.0,22.2314626,-97.8725795,Auto,2019,ENERO,11,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2314626,-97.8725795,AUTO,False,True,True,TAMPICO
5000721.0,22.2196154,-97.8585277,Camión Ligero,2019,ENERO,11,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2196154,-97.8585277,CAMION LIGERO,False,True,True,TAMPICO
5001027.0,22.2638833,-97.8597313,Auto,2019,ENERO,14,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2638833,-97.8597313,AUTO,False,True,True,TAMPICO
5001632.0,22.2514806,-97.865073,Auto,2019,ENERO,18,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2514806,-97.865073,AUTO,False,True,True,TAMPICO
5001953.0,22.2518543,-97.859125,Auto,2019,ENERO,8,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2518543,-97.859125,AUTO,False,True,True,TAMPICO
5001990.0,22.213624,-97.8540935,Auto,2019,ENERO,9,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.213624,-97.8540935,AUTO,False,True,True,TAMPICO
5002135.0,22.3160783,-97.8685384,Auto,2019,ENERO,10,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3160783,-97.8685384,AUTO,False,True,True,TAMPICO
5002097.0,22.3159145,-97.8679644,Auto,2019,ENERO,10,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3159145,-97.8679644,AUTO,False,True,True,TAMPICO
5002448.0,22.275264,-97.8417213,Auto,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.275264,-97.8417213,AUTO,False,False,True,TAMPICO
5002587.0,22.2654366,-97.8746587,Auto,2019,ENERO,14,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2654366,-97.8746587,AUTO,False,True,True,TAMPICO
5002636.0,22.2688091,-97.853943,Auto,2019,ENERO,14,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2688091,-97.853943,AUTO,False,False,True,TAMPICO
5003115.0,22.2522383,-97.8756453,Auto,2019,ENERO,18,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2522383,-97.8756453,AUTO,False,True,True,TAMPICO
5003079.0,22.2266188,-97.864878,Auto,2019,ENERO,19,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2266188,-97.864878,AUTO,False,True,True,TAMPICO
5003305.0,22.2530802,-97.8665509,Auto,2019,ENERO,20,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2530802,-97.8665509,AUTO,False,True,True,TAMPICO
5003213.0,22.2523823,-97.8574217,Auto,2019,ENERO,23,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2523823,-97.8574217,AUTO,False,True,True,TAMPICO
5003559.0,22.2465106,-97.8732186,Auto,2019,ENERO,8,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2465106,-97.8732186,AUTO,False,True,True,TAMPICO
5003491.0,22.2861183,-97.8768312,Auto,2019,ENERO,8,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2861183,-97.8768312,AUTO,False,True,True,TAMPICO
5001282.0,22.2485624,-97.8721697,Auto,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2485624,-97.8721697,AUTO,False,True,True,TAMPICO
5004852.0,22.3246675,-97.8758847,Auto,2019,ENERO,18,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3246675,-97.8758847,AUTO,False,True,True,TAMPICO
5005287.0,22.2653755,-97.8745133,Auto,2019,ENERO,7,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2653755,-97.8745133,AUTO,False,True,True,TAMPICO
5005622.0,22.2752792,-97.8934127,Auto,2019,ENERO,11,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2752792,-97.8934127,AUTO,False,True,True,TAMPICO
5005643.0,22.255556,-97.8574691,Auto,2019,ENERO,11,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.255556,-97.8574691,AUTO,False,True,True,TAMPICO
5005919.0,22.2786675,-97.8854006,\N,2019,ENERO,14,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2786675,-97.8854006,\N,False,True,True,TAMPICO
5005928.0,22.2786675,-97.8854006,Camión,2019,ENERO,14,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2786675,-97.8854006,CAMION,False,True,True,TAMPICO
5006141.0,22.230212,-97.8398089,Auto,2019,ENERO,16,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.230212,-97.8398089,AUTO,False,True,True,TAMPICO
5006087.0,22.2645725,-97.8747071,Auto,2019,ENERO,16,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2645725,-97.8747071,AUTO,False,True,True,TAMPICO
5006427.0,22.2414512,-97.8649675,Auto,2019,ENERO,1,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2414512,-97.8649675,AUTO,False,True,True,TAMPICO
5006648.0,22.2262723,-97.8696363,Auto,2019,ENERO,3,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2262723,-97.8696363,AUTO,False,True,True,TAMPICO
5006848.0,22.3233036,-97.8766892,Auto,2019,ENERO,12,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3233036,-97.8766892,AUTO,False,True,True,TAMPICO
5006854.0,22.2802492,-97.8918153,Auto,2019,ENERO,12,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2802492,-97.8918153,AUTO,False,True,True,TAMPICO
5006793.0,22.261145,-97.8616498,Auto,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.261145,-97.8616498,AUTO,False,True,True,TAMPICO
5006905.0,22.2729071,-97.8746208,Auto,2019,ENERO,14,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2729071,-97.8746208,AUTO,False,True,True,TAMPICO
5007231.0,22.3194976,-97.8803036,Auto,2019,ENERO,18,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3194976,-97.8803036,AUTO,False,True,True,TAMPICO
5007262.0,22.2528233,-97.8612955,Auto,2019,ENERO,21,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2528233,-97.8612955,AUTO,False,True,True,TAMPICO
4991548.0,22.2509028,-97.8626525,Auto,2019,ENERO,22,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2509028,-97.8626525,AUTO,False,True,True,TAMPICO
5007349.0,22.2617619,-97.834006,Auto,2019,ENERO,7,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2617619,-97.834006,AUTO,False,False,True,TAMPICO
5007441.0,22.2711563,-97.8580534,Auto,2019,ENERO,8,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2711563,-97.8580534,AUTO,False,True,True,TAMPICO
5007446.0,22.2856041,-97.8466765,Auto,2019,ENERO,8,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2856041,-97.8466765,AUTO,False,False,True,TAMPICO
5007513.0,22.2766546,-97.8436664,Auto,2019,ENERO,9,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2766546,-97.8436664,AUTO,False,False,True,TAMPICO
5007673.0,22.2779825,-97.8737265,Auto,2019,ENERO,10,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2779825,-97.8737265,AUTO,False,True,True,TAMPICO
5008155.0,22.261461,-97.8288564,Auto,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.261461,-97.8288564,AUTO,False,False,True,TAMPICO
5008231.0,22.2643375,-97.8588794,Auto,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2643375,-97.8588794,AUTO,False,True,True,TAMPICO
5008310.0,22.306587,-97.8632927,Auto,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.306587,-97.8632927,AUTO,False,True,True,TAMPICO
5008845.0,22.2826323,-97.8729301,Auto,2019,ENERO,18,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2826323,-97.8729301,AUTO,False,True,True,TAMPICO
5009078.0,22.3120474,-97.8605907,Camión,2019,ENERO,6,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3120474,-97.8605907,CAMION,False,True,True,TAMPICO
5009352.0,22.2711269,-97.8555317,Auto,2019,ENERO,9,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2711269,-97.8555317,AUTO,False,False,True,TAMPICO
5010033.0,22.2418587,-97.8487825,Auto,2019,ENERO,13,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2418587,-97.8487825,AUTO,False,True,True,TAMPICO
5010367.0,22.2699533,-97.8560439,Auto,2019,ENERO,15,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2699533,-97.8560439,AUTO,False,False,True,TAMPICO
5010474.0,22.2206222,-97.856849,Auto,2019,ENERO,18,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2206222,-97.856849,AUTO,False,True,True,TAMPICO
5011159.0,22.2912546,-97.8748806,Auto,2019,ENERO,7,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2912546,-97.8748806,AUTO,False,True,True,TAMPICO
5010974.0,22.2913342,-97.8751016,Auto,2019,ENERO,7,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2913342,-97.8751016,AUTO,False,True,True,TAMPICO
5011168.0,22.2572044,-97.8637811,Auto,2019,ENERO,8,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2572044,-97.8637811,AUTO,False,True,True,TAMPICO
5011417.0,22.2223971,-97.8814687,Auto,2019,ENERO,10,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2223971,-97.8814687,AUTO,False,True,True,TAMPICO
5012164.0,22.3234013,-97.8788387,Auto,2019,ENERO,17,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3234013,-97.8788387,AUTO,False,True,True,TAMPICO
5012811.0,22.2487694,-97.8579329,Auto,2019,ENERO,8,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2487694,-97.8579329,AUTO,False,True,True,TAMPICO
5013096.0,22.2346526,-97.8678578,Auto,2019,ENERO,10,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2346526,-97.8678578,AUTO,False,True,True,TAMPICO
5014186.0,22.3099971,-97.8805268,Auto,2019,ENERO,18,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3099971,-97.8805268,AUTO,False,True,True,TAMPICO
5014342.0,22.3101783,-97.8804523,Camión,2019,ENERO,20,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.3101783,-97.8804523,CAMION,False,True,True,TAMPICO
5010787.0,22.2751516,-97.8751494,Auto,2019,ENERO,20,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2751516,-97.8751494,AUTO,False,True,True,TAMPICO
5014604.0,22.2521966,-97.858284,Auto,2019,ENERO,8,TAMAULIPAS,TAMPICO,incidentes_viales_2019_axa.csv,22.2521966,-97.858284,AUTO,False,True,True,TAMPICO
