UNIDAD,FECHA DE INICIO,AÑO,DELITO,MODALIDAD,MUNICIPIO_HECHO,LATITUD,LONGITUD,lat,lon,geo_ok
UNIDAD REYNOSA 1A.,01/02/2022,2022.0,HOMICIDIO,CULPOSO,REYNOSA,26.099645073598495,-98.31108696063251,26.09964507359849,-98.31108696063252,True
UNIDAD REYNOSA 1A.,01/02/2022,2022.0,HOMICIDIO,CULPOSO,REYNOSA,26.0095863106933,-98.24843028979554,26.0095863106933,-98.24843028979554,True
UNIDAD TAMPICO 1A.,01/02/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.307504877100257,-97.88141751124661,22.307504877100257,-97.8814175112466,True
UNIDAD TAMPICO 1A.,01/02/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.312568237363767,-97.87615925073625,22.312568237363767,-97.87615925073624,True
UNIDAD REYNOSA 2A.,01/02/2024,2024.0,LESIONES,CULPOSO,REYNOSA,26.030243745708958,98.2990789206427,26.03024374570896,-98.2990789206427,True
UNIDAD REYNOSA 2A.,01/02/2024,2024.0,LESIONES,CULPOSO,REYNOSA,26.025082574216555,98.26651018611864,26.025082574216555,-98.26651018611864,True
UNIDAD TAMPICO 3A.,01/02/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.272621263074985,-97.85129264668164,22.272621263074985,-97.85129264668164,True
UNIDAD TAMPICO 3A.,01/02/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.2217787905517,-97.84614050318714,22.2217787905517,-97.84614050318714,True
ATENCION INMEDIATA EN TAMPICO,01/02/2025,2025.0,LESIONES,CULPOSO,TAMPICO,22.223454593875548,-97.86339332688739,22.223454593875548,-97.8633933268874,True
UNIDAD TAMPICO 3A.,01/02/2026,2026.0,LESIONES,CULPOSO,TAMPICO,22.31596769004099,-97.87887901067735,22.31596769004099,-97.87887901067737,True
UNIDAD NUEVO LAREDO 1A.,01/02/2026,2026.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.485720039981548,-99.50432181358339,27.485720039981548,-99.5043218135834,True
UNIDAD MATAMOROS 2A.,01/03/2016,2016.0,LESIONES,CULPOSO,MATAMOROS,25.8082287460437,-97.5179851055145,25.8082287460437,-97.5179851055145,True
