UNIDAD,FECHA DE INICIO,AÑO,DELITO,MODALIDAD,MUNICIPIO_HECHO,LATITUD,LONGITUD,lat,lon,geo_ok
UNIDAD REYNOSA 2A.,10/11/2021,2021.0,HOMICIDIO,CULPOSO,REYNOSA,26.031054893689358,-98.25632662466901,26.03105489368936,-98.256326624669,True
UNIDAD TAMPICO 1A.,10/11/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.240394455517283,-97.8591782150591,22.240394455517283,-97.8591782150591,True
ATENCION INMEDIATA EN TAMPICO,10/11/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.31152,-97.85616,22.31152,-97.85616,True
UNIDAD TAMPICO 1A.,10/11/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.303680572818237,-97.85632431507112,22.30368057281824,-97.85632431507112,True
UNIDAD REYNOSA 2A.,10/11/2022,2022.0,HOMICIDIO,CULPOSO,REYNOSA,26.204139436734028,98.50158960625632,26.204139436734028,-98.50158960625632,True
UGI VICTORIA 4A.,10/11/2022,2022.0,HOMICIDIO,CULPOSO,VICTORIA,23.748842,-99.136741,23.748842,-99.136741,True
UGI VICTORIA 4A.,10/11/2022,2022.0,LESIONES,CULPOSO,VICTORIA,23.748690,-99.136777,23.74869,-99.136777,True
UNIDAD CIUDAD MADERO 1A.,10/11/2023,2023.0,LESIONES,CULPOSO,CIUDAD MADERO,22.2446263616474,-97.85239487886432,22.2446263616474,-97.85239487886432,True
UNIDAD REYNOSA 2A.,10/11/2023,2023.0,LESIONES,CULPOSO,REYNOSA,25.99388,-98.27529,25.99388,-98.27529,True
UNIDAD REYNOSA 2A.,10/11/2023,2023.0,HOMICIDIO,CULPOSO,REYNOSA,25.5995384,25.5995384,25.5995384,-25.5995384,False
UNIDAD REYNOSA 2A.,10/11/2023,2023.0,HOMICIDIO,CULPOSO,REYNOSA,6.0751096,98.3188404,6.0751096,-98.3188404,False
UGI VICTORIA 3A,10/11/2023,2023.0,LESIONES,CULPOSO,VICTORIA,23.72212062082575,-99.172736,23.72212062082575,-99.172736,True
UNIDAD TAMPICO 4,10/11/2025,2025.0,LESIONES,CULPOSO,TAMPICO,22.303633336948078,-97.85116380358612,22.30363333694808,-97.85116380358612,True
UNIDAD NUEVO LAREDO 2A.,10/11/2025,2025.0,LESIONES,CULPOSO,NUEVO LAREDO,27.48665099854683,-99.50763917842899,27.48665099854683,-99.507639178429,True
UNIDAD TAMPICO 3A.,10/11/2025,2025.0,LESIONES,CULPOSO,TAMPICO,22.2163221,-97.9404214,22.2163221,-97.9404214,True
UNIDAD MATAMOROS 1A.,10/12/2015,2015.0,LESIONES,CULPOSO,MATAMOROS,25.8620986118486,-97.4809679389,25.8620986118486,-97.4809679389,True
UNIDAD MATAMOROS 1A.,10/12/2015,2015.0,LESIONES,CULPOSO,MATAMOROS,25.8568406694171,-97.4702847003937,25.8568406694171,-97.4702847003937,True
UNIDAD NUEVO LAREDO 1A.,10/12/2015,2015.0,LESIONES,CULPOSO,NUEVO LAREDO,27.4676406314884,-99.5040321350098,27.4676406314884,-99.5040321350098,True
UNIDAD REYNOSA 2A.,10/12/2016,2016.0,HOMICIDIO,CULPOSO,REYNOSA,26.0557631365797,-98.2967155426741,26.0557631365797,-98.2967155426741,True
UNIDAD REYNOSA 2A.,10/12/2016,2016.0,HOMICIDIO,CULPOSO,REYNOSA,26.0469942450257,-98.288601860404,26.0469942450257,-98.288601860404,True
ATENCION INMEDIATA VICTORIA,10/12/2016,2016.0,LESIONES,CULPOSO,VICTORIA,23.7173226384542,-99.1234481334686,23.7173226384542,-99.1234481334686,True
UNIDAD MATAMOROS 3,10/12/2018,2018.0,LESIONES,CULPOSO,MATAMOROS,26.020363550585536,-97.70418976879252,26.020363550585536,-97.70418976879252,True
UNIDAD VICTORIA 4A.,10/12/2018,2018.0,HOMICIDIO,CULPOSO,VICTORIA,23.791152330142,-99.1696376898529,23.791152330142,-99.1696376898529,True
UNIDAD TAMPICO 1A.,10/12/2020,2020.0,LESIONES,CULPOSO,TAMPICO,22.30172180608638,-97.85621625525637,22.30172180608638,-97.85621625525636,True
UNIDAD TAMPICO 1A.,10/12/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.23614041956573,-97.86352041224069,22.23614041956573,-97.86352041224067,True
UNIDAD TAMPICO 1A.,10/12/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.252640565489667,-97.85871040688572,22.252640565489667,-97.85871040688572,True
UNIDAD TAMPICO 1A.,10/12/2022,2022.0,HOMICIDIO,CULPOSO,TAMPICO,22.27563914334117,-97.875343898494,22.27563914334117,-97.875343898494,True
UNIDAD CIUDAD MADERO 1A.,10/12/2022,2022.0,LESIONES,CULPOSO,CIUDAD MADERO,22.25857874400469,-97.85342752933502,22.25857874400469,-97.85342752933502,True
UNIDAD TAMPICO 3A.,10/12/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.302006143355403,-97.86262498344408,22.302006143355403,-97.86262498344408,True
UNIDAD TAMPICO 3A.,10/12/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.2394168635167,-97.84270574085751,22.2394168635167,-97.84270574085753,True
UNIDAD REYNOSA 2A.,10/12/2023,2023.0,LESIONES,CULPOSO,REYNOSA,26.0553915,-98.2995292,26.0553915,-98.2995292,True
UNIDAD NUEVO LAREDO 2A.,10/12/2024,2024.0,LESIONES,CULPOSO,NUEVO LAREDO,27.44986448809985,-99.51881961003265,27.44986448809985,-99.51881961003264,True
ATENCION INMEDIATA EN NUEVO LAREDO,10/12/2025,2025.0,LESIONES,CULPOSO,NUEVO LAREDO,27.464113252965646,-99.50088889710287,27.46411325296565,-99.50088889710288,True
UNIDAD CIUDAD MADERO 1A.,10/12/2025,2025.0,LESIONES,CULPOSO,CIUDAD MADERO,22.250077088584238,-97.83170700073244,22.25007708858424,-97.83170700073244,True
UNIDAD REYNOSA 3A.,10/12/2025,2025.0,HOMICIDIO,CULPOSO,REYNOSA,26.083179346805196,-98.31673622131349,26.0831793468052,-98.31673622131348,True
UNIDAD REYNOSA 3A.,10/12/2025,2025.0,LESIONES,CULPOSO,REYNOSA,26.0823687,-98.3049569,26.0823687,-98.3049569,True
UNIDAD NUEVO LAREDO 3,10/12/2025,2025.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.47329401137292,-99.56643356061271,27.47329401137292,-99.56643356061272,True
UNIDAD MATAMOROS 1A.,10/12/2025,2025.0,LESIONES,CULPOSO,MATAMOROS,25.859496387805326,-97.56122488929496,25.85949638780533,-97.56122488929496,True
UNIDAD VICTORIA 1A.,11/01/2014,,HOMICIDIO,CULPOSO,VICTORIA,23.74937466125863,-99.12175163626671,23.74937466125863,-99.12175163626672,True
UNIDAD VICTORIA 5A.,11/01/2016,2016.0,HOMICIDIO,CULPOSO,VICTORIA,23.7485121588566,-99.1375737192539,23.7485121588566,-99.1375737192539,True
UNIDAD MATAMOROS 1A.,11/01/2016,2016.0,LESIONES,CULPOSO,MATAMOROS,25.8605594942825,-97.5006794929504,25.8605594942825,-97.5006794929504,True
UNIDAD MATAMOROS 1A.,11/01/2016,2016.0,HOMICIDIO,CULPOSO,MATAMOROS,25.8417296660374,-97.5384382903576,25.8417296660374,-97.5384382903576,True
UNIDAD NUEVO LAREDO 1A.,11/01/2016,2016.0,LESIONES,CULPOSO,NUEVO LAREDO,27.4929420501813,-99.5115101337433,27.4929420501813,-99.5115101337433,True
UNIDAD MATAMOROS 1A.,11/01/2017,2017.0,HOMICIDIO,CULPOSO,MATAMOROS,25.8695727692823,-97.4967098236084,25.8695727692823,-97.4967098236084,True
UNIDAD REYNOSA 3A.,11/01/2018,2018.0,LESIONES,CULPOSO,REYNOSA,26.1012881782247,-98.319285393809,26.1012881782247,-98.319285393809,True
UNIDAD TAMPICO 1A.,11/01/2019,2019.0,HOMICIDIO,CULPOSO,TAMPICO,22.253652,-97.858504,22.253652,-97.858504,True
UNIDAD VICTORIA 4A.,11/01/2019,2019.0,HOMICIDIO,CULPOSO,VICTORIA,23.7343513896922,-99.1153059303113,23.7343513896922,-99.1153059303113,True
UNIDAD VICTORIA 4A.,11/01/2019,2019.0,HOMICIDIO,CULPOSO,VICTORIA,23.7510834683623,-99.1260054770405,23.7510834683623,-99.1260054770405,True
UNIDAD CIUDAD MADERO 2A.,11/01/2020,2020.0,LESIONES,CULPOSO,CIUDAD MADERO,22.247189495377086,-97.85581965476008,22.24718949537709,-97.85581965476008,True
UNIDAD MATAMOROS 1A.,11/01/2020,2020.0,LESIONES,CULPOSO,MATAMOROS,25.86697589671039,-97.52554893493652,25.86697589671039,-97.52554893493652,True
UNIDAD NUEVO LAREDO 2A.,11/01/2021,2021.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.48524771420259,-99.54505340536292,27.48524771420259,-99.54505340536292,True
UNIDAD TAMPICO 2A.,11/01/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.243721765605958,-97.88354873657228,22.24372176560596,-97.88354873657228,True
UNIDAD TAMPICO 2A.,11/01/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.214246531716903,-97.85277833966215,22.214246531716903,-97.85277833966217,True
UNIDAD REYNOSA 3A.,11/01/2022,2022.0,HOMICIDIO,CULPOSO,REYNOSA,26.0823687,98.30495,26.0823687,-98.30495,True
UNIDAD CIUDAD MADERO 2A.,11/01/2023,2023.0,HOMICIDIO,CULPOSO,TAMPICO,22.252679040631673,-97.8587636658305,22.252679040631676,-97.8587636658305,True
UNIDAD REYNOSA 3A.,11/01/2023,2023.0,LESIONES,CULPOSO,REYNOSA,26.0318605,98.23893,26.0318605,-98.23893,True
UNIDAD TAMPICO 2A.,11/01/2023,2023.0,HOMICIDIO,CULPOSO,TAMPICO,22.221358539076785,-97.86240592482788,22.221358539076785,-97.86240592482788,True
UNIDAD CIUDAD MADERO 2A.,11/01/2023,2023.0,HOMICIDIO,CULPOSO,CIUDAD MADERO,22.247164445949526,-97.85587325846177,22.24716444594953,-97.85587325846176,True
UNIDAD NUEVO LAREDO 1A.,11/01/2023,2023.0,LESIONES,CULPOSO,NUEVO LAREDO,27.497776160540308,-99.499447448225,27.497776160540308,-99.499447448225,True
UGI VICTORIA 4A.,11/01/2023,2023.0,LESIONES,CULPOSO,VICTORIA,23.729399,-99.142690,23.729399,-99.14269,True
UNIDAD TAMPICO 4,11/01/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.294689,-97.875535,22.294689,-97.875535,True
UNIDAD CIUDAD MADERO 2A.,11/01/2024,2024.0,LESIONES,CULPOSO,CIUDAD MADERO,22.265965121497725,-97.85444756745032,22.265965121497725,-97.85444756745032,True
UNIDAD CIUDAD MADERO 2A.,11/01/2025,2025.0,LESIONES,CULPOSO,CIUDAD MADERO,22.278421358904353,-97.84054147264332,22.278421358904357,-97.84054147264332,True
ATENCION VICTORIA,11/01/2026,2026.0,LESIONES,CULPOSO,VICTORIA,23.729081,-99.131632,23.729081,-99.131632,True
UNIDAD TAMPICO 4,11/01/2026,2026.0,LESIONES,CULPOSO,TAMPICO,22.230523222535865,-97.85957919767752,22.230523222535865,-97.85957919767752,True
UNIDAD CIUDAD MADERO 2A.,11/01/2026,2026.0,LESIONES,CULPOSO,CIUDAD MADERO,22.25310331312297,-97.82437552385477,22.25310331312297,-97.82437552385475,True
UNIDAD REYNOSA 3A.,11/02/2016,2016.0,LESIONES,CULPOSO,REYNOSA,26.0140690167605,-98.3589152991772,26.0140690167605,-98.3589152991772,True
UNIDAD MATAMOROS 1A.,11/02/2016,2016.0,LESIONES,CULPOSO,MATAMOROS,25.8133978497251,-97.5448822975159,25.8133978497251,-97.5448822975159,True
UNIDAD NUEVO LAREDO 1A.,11/02/2016,2016.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.4766473914495,-99.5073258876801,27.4766473914495,-99.5073258876801,True
UNIDAD MATAMOROS 1A.,11/02/2017,2017.0,LESIONES,CULPOSO,MATAMOROS,25.5482803430687,-97.6719224452972,25.5482803430687,-97.6719224452972,True
UNIDAD MATAMOROS 1A.,11/02/2017,2017.0,HOMICIDIO,CULPOSO,MATAMOROS,25.8364037511821,-97.5093752145767,25.8364037511821,-97.5093752145767,True
UNIDAD CIUDAD MADERO 2A.,11/02/2018,2018.0,LESIONES,CULPOSO,CIUDAD MADERO,22.245339888108532,-97.8550209399875,22.24533988810853,-97.8550209399875,True
UNIDAD REYNOSA 1A.,11/02/2020,2020.0,LESIONES,CULPOSO,REYNOSA,26.0318645,-98.26264,26.0318645,-98.26264,True
ATENCION INMEDIATA EN TAMPICO,11/02/2020,2020.0,LESIONES,CULPOSO,TAMPICO,22.309487837204923,-97.86299885865184,22.309487837204923,-97.86299885865184,True
UNIDAD CIUDAD MADERO 2A.,11/02/2021,2021.0,LESIONES,CULPOSO,CIUDAD MADERO,22.258649310275505,-97.8323343902792,22.258649310275505,-97.8323343902792,True
UNIDAD REYNOSA 3A.,11/02/2022,2022.0,HOMICIDIO,CULPOSO,REYNOSA,26.0823687,98.30495,26.0823687,-98.30495,True
UNIDAD CIUDAD MADERO 2A.,11/02/2022,2022.0,LESIONES,CULPOSO,CIUDAD MADERO,22.245635422516788,-97.83774179395816,22.245635422516788,-97.83774179395816,True
UNIDAD TAMPICO 4,11/02/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.284527653228427,-97.86807784625728,22.284527653228427,-97.86807784625728,True
UNIDAD TAMPICO 4,11/02/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.312464,-97.84334,22.312464,-97.84334,True
UNIDAD TAMPICO 4,11/02/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.314808,-97.89335,22.314808,-97.89335,True
UNIDAD TAMPICO 4,11/02/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.309625,-97.88082,22.309625,-97.88082,True
UNIDAD CIUDAD MADERO 2A.,11/02/2024,2024.0,LESIONES,CULPOSO,CIUDAD MADERO,22.269659110135983,-97.84734687190414,22.269659110135983,-97.84734687190414,True
UNIDAD CIUDAD MADERO 2A.,11/02/2024,2024.0,LESIONES,CULPOSO,CIUDAD MADERO,22.288520815483622,-97.80434597096898,22.288520815483626,-97.80434597096898,True
UNIDAD MATAMOROS 1A.,11/02/2024,2024.0,LESIONES,CULPOSO,MATAMOROS,25.8664747975137,-97.51032739877702,25.8664747975137,-97.51032739877702,True
UNIDAD TAMPICO 1A.,11/02/2025,2025.0,LESIONES,CULPOSO,TAMPICO,22.292681271885357,-97.87551728330975,22.29268127188536,-97.87551728330976,True
UNIDAD CIUDAD MADERO 2A.,11/02/2026,2026.0,HOMICIDIO,CULPOSO,CIUDAD MADERO,22.27417032643075,-97.80037396537627,22.27417032643075,-97.80037396537628,True
UNIDAD CIUDAD MADERO 2A.,11/02/2026,2026.0,LESIONES,CULPOSO,CIUDAD MADERO,22.273364073164622,-97.85389427176462,22.273364073164625,-97.85389427176462,True
UNIDAD CIUDAD MADERO 2A.,11/03/2017,2017.0,LESIONES,CULPOSO,CIUDAD MADERO,22.249799160166994,-97.84980707931774,22.249799160166997,-97.84980707931774,True
UNIDAD REYNOSA 3A.,11/03/2018,2018.0,HOMICIDIO,CULPOSO,REYNOSA,26.0557907906055,-98.2966147125721,26.0557907906055,-98.2966147125721,True
UNIDAD MATAMOROS 3,11/03/2018,2018.0,HOMICIDIO,CULPOSO,MATAMOROS,25.895239156129175,-97.54340171813966,25.895239156129172,-97.54340171813966,True
UNIDAD TAMPICO 1A.,11/03/2018,2018.0,LESIONES,CULPOSO,TAMPICO,22.2522020853718,-97.8597521781921,22.2522020853718,-97.8597521781921,True
UNIDAD NUEVO LAREDO 2A.,11/03/2019,2019.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,0.00502219146522928,-0.00581423613766674,0.0050221914652292,-0.0058142361376667,False
UNIDAD VICTORIA 2A,11/03/2019,2019.0,LESIONES,CULPOSO,VICTORIA,23.748840259686798,-99.13682099990402,23.7488402596868,-99.13682099990402,True
UNIDAD VICTORIA 2A,11/03/2019,2019.0,LESIONES,CULPOSO,VICTORIA,23.74873652090132,-99.1367806179408,23.74873652090132,-99.1367806179408,True
UNIDAD NUEVO LAREDO 1A.,11/03/2019,2019.0,LESIONES,CULPOSO,NUEVO LAREDO,27.496701412740457,-99.59402860971343,27.496701412740457,-99.59402860971343,True
UNIDAD REYNOSA 1A.,11/03/2020,2020.0,HOMICIDIO,CULPOSO,REYNOSA,25.9952366,-98.32048,25.9952366,-98.32048,True
UNIDAD REYNOSA 1A.,11/03/2020,2020.0,HOMICIDIO,CULPOSO,REYNOSA,26.0676875,-98.26928,26.0676875,-98.26928,True
UNIDAD REYNOSA 3A.,11/03/2020,2020.0,HOMICIDIO,CULPOSO,REYNOSA,26.093707,-98.32614,26.093707,-98.32614,True
UNIDAD REYNOSA 3A.,11/03/2020,2020.0,LESIONES,CULPOSO,REYNOSA,26.051113,-98.35827,26.051113,-98.35827,True
ATENCION INMEDIATA DE CIUDAD MADERO,11/03/2020,2020.0,LESIONES,CULPOSO,CIUDAD MADERO,22.24435731087934,-97.84458160400392,22.24435731087934,-97.84458160400392,True
UNIDAD TAMPICO 2A.,11/03/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.219380198777895,-97.86320686340333,22.21938019877789,-97.86320686340332,True
UNIDAD VICTORIA 3A,11/03/2022,2022.0,LESIONES,CULPOSO,VICTORIA,23.753778826205682,-99.14638992952057,23.75377882620568,-99.14638992952057,True
UNIDAD TAMPICO 4,11/03/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.230926546117498,-97.86284968955073,22.230926546117495,-97.86284968955071,True
UNIDAD MATAMOROS 2A.,11/03/2024,2024.0,HOMICIDIO,CULPOSO,MATAMOROS,25.872011207216783,-97.50386327505113,25.872011207216783,-97.50386327505112,True
UNIDAD 1 ADOLESCENTES REYNOSA,11/03/2024,2024.0,LESIONES,CULPOSO,REYNOSA,26.04751956471745,-98.27946960558472,26.04751956471745,-98.27946960558472,True
UNIDAD REYNOSA 3A.,11/03/2024,2024.0,LESIONES,CULPOSO,REYNOSA,26.0096278,-98.342983,26.0096278,-98.342983,True
UNIDAD REYNOSA 3A.,11/03/2024,2024.0,LESIONES,CULPOSO,REYNOSA,26.0137180676408,-98.4061288833618,26.0137180676408,-98.4061288833618,True
UNIDAD REYNOSA 3A.,11/03/2024,2024.0,LESIONES,CULPOSO,REYNOSA,26.0553915,-98.29952,26.0553915,-98.29952,True
UNIDAD REYNOSA 3A.,11/03/2024,2024.0,LESIONES,CULPOSO,REYNOSA,26.0553915,-98.29952,26.0553915,-98.29952,True
UNIDAD REYNOSA 3A.,11/03/2024,2024.0,LESIONES,CULPOSO,REYNOSA,26.0608780286185,-98.3084467857648,26.0608780286185,-98.3084467857648,True
UNIDAD TAMPICO 1A.,11/03/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.30559630891663,-97.88189113140108,22.30559630891663,-97.88189113140108,True
UNIDAD CIUDAD MADERO 2A.,11/03/2024,2024.0,LESIONES,CULPOSO,CIUDAD MADERO,22.24720265419428,-97.85577224825325,22.24720265419428,-97.85577224825325,True
UNIDAD CIUDAD MADERO 1A.,11/03/2025,2025.0,LESIONES,CULPOSO,CIUDAD MADERO,22.26354519963479,-97.85472035408021,22.26354519963479,-97.8547203540802,True
UNIDAD CIUDAD MADERO 1A.,11/03/2025,2025.0,LESIONES,CULPOSO,CIUDAD MADERO,22.245566740631407,-97.83298316506264,22.245566740631407,-97.83298316506264,True
UNIDAD CIUDAD MADERO 2A.,11/03/2025,2025.0,LESIONES,CULPOSO,CIUDAD MADERO,22.322102719224,-97.87888743828128,22.322102719224,-97.87888743828128,True
UNIDAD CIUDAD MADERO 2A.,11/03/2025,2025.0,LESIONES,CULPOSO,CIUDAD MADERO,22.268304,97.8577571,22.268304,-97.8577571,True
UNIDAD REYNOSA 1A.,11/03/2025,2025.0,LESIONES,CULPOSO,REYNOSA,26.047332,-98.335330,26.047332,-98.33533,True
UGI VICTORIA 4A.,11/03/2025,2025.0,LESIONES,CULPOSO,VICTORIA,23.758000,-99.118600,23.758,-99.1186,True
UNIDAD TAMPICO 1A.,11/03/2026,2026.0,LESIONES,CULPOSO,TAMPICO,22.256594718909177,-97.85536408424377,22.256594718909177,-97.85536408424376,True
UNIDAD TAMPICO 1A.,11/03/2026,2026.0,LESIONES,CULPOSO,TAMPICO,22.218678739497964,-97.84946322441102,22.218678739497964,-97.84946322441102,True
UNIDAD MATAMOROS 1A.,11/04/2016,2016.0,LESIONES,CULPOSO,MATAMOROS,25.8576416325968,-97.5131075084209,25.8576416325968,-97.5131075084209,True
UNIDAD VICTORIA 1A.,11/04/2016,2016.0,HOMICIDIO,CULPOSO,VICTORIA,23.7425862199592,-99.1597183048725,23.7425862199592,-99.1597183048725,True
UNIDAD MATAMOROS 3,11/04/2017,2017.0,LESIONES,CULPOSO,MATAMOROS,25.8388042484388,-97.5184142589569,25.8388042484388,-97.5184142589569,True
UNIDAD VICTORIA 3A,11/04/2017,2017.0,LESIONES,CULPOSO,VICTORIA,23.7514462898317,-99.1303414852882,23.7514462898317,-99.1303414852882,True
UNIDAD VICTORIA 3A,11/04/2017,2017.0,LESIONES,CULPOSO,VICTORIA,23.729435293858703,-99.14228796958925,23.729435293858703,-99.14228796958923,True
UNIDAD NUEVO LAREDO 2A.,11/04/2017,2017.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.4696709083218,-99.566211104393,27.4696709083218,-99.566211104393,True
UNIDAD CIUDAD MADERO 2A.,11/04/2017,2017.0,HOMICIDIO,CULPOSO,CIUDAD MADERO,22.2864089,97.8186629,22.2864089,-97.8186629,True
UNIDAD TAMPICO 2A.,11/04/2017,2017.0,LESIONES,CULPOSO,TAMPICO,22.29880736273239,-97.89610744156985,22.29880736273239,-97.89610744156984,True
UNIDAD MATAMOROS 2A.,11/04/2017,2017.0,LESIONES,CULPOSO,MATAMOROS,25.8386455244168,-97.3511838912964,25.8386455244168,-97.3511838912964,True
UNIDAD REYNOSA 2A.,11/04/2017,2017.0,LESIONES,CULPOSO,REYNOSA,26.0564445642112,-98.2957170903683,26.0564445642112,-98.2957170903683,True
UNIDAD NUEVO LAREDO 2A.,11/04/2018,2018.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.512106246090713,-99.55870628356935,27.512106246090717,-99.55870628356936,True
UNIDAD VICTORIA 5A.,11/04/2018,2018.0,LESIONES,CULPOSO,VICTORIA,23.7270687258773,-99.1496671346159,23.7270687258773,-99.1496671346159,True
UNIDAD MATAMOROS 1A.,11/04/2018,2018.0,HOMICIDIO,CULPOSO,MATAMOROS,25.8620760583336,-97.4806760497692,25.8620760583336,-97.4806760497692,True
UNIDAD MATAMOROS 1A.,11/04/2018,2018.0,LESIONES,CULPOSO,MATAMOROS,25.836469462777,-97.5000984849419,25.836469462777,-97.5000984849419,True
UNIDAD REYNOSA 1A.,11/04/2018,2018.0,LESIONES,CULPOSO,REYNOSA,26.089192166108226,-98.28566551208498,26.089192166108223,-98.28566551208498,True
ATENCION INMEDIATA EN TAMPICO,11/04/2019,2019.0,LESIONES,CULPOSO,TAMPICO,22.21836,-97.84345,22.21836,-97.84345,True
UNIDAD MATAMOROS 1A.,11/04/2020,2020.0,HOMICIDIO,CULPOSO,MATAMOROS,25.811901524959058,-97.51952729211891,25.811901524959055,-97.51952729211892,True
UNIDAD CIUDAD MADERO 2A.,11/04/2020,2020.0,HOMICIDIO,CULPOSO,CIUDAD MADERO,22.328431201579665,-97.84958717675688,22.328431201579665,-97.84958717675688,True
UNIDAD TAMPICO 2A.,11/04/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.21318240528029,-97.86595344543458,22.21318240528029,-97.86595344543458,True
UNIDAD REYNOSA 3A.,11/04/2021,2021.0,HOMICIDIO,CULPOSO,REYNOSA,26.02507,-98.24959,26.02507,-98.24959,True
UNIDAD MATAMOROS 1A.,11/04/2021,2021.0,LESIONES,CULPOSO,MATAMOROS,25.852235967492245,-97.4642422235855,25.852235967492245,-97.4642422235855,True
UNIDAD NUEVO LAREDO 3,11/04/2022,2022.0,LESIONES,CULPOSO,NUEVO LAREDO,27.480906823105713,99.50665016046342,27.480906823105716,-99.50665016046342,True
UNIDAD MATAMOROS 1A.,11/04/2022,2022.0,HOMICIDIO,CULPOSO,MATAMOROS,25.81322520783836,-97.51866496467963,25.81322520783836,-97.51866496467964,True
UNIDAD VICTORIA 2A,11/04/2022,2022.0,HOMICIDIO,CULPOSO,VICTORIA,23.754976796148615,-99.1289872894007,23.75497679614861,-99.1289872894007,True
UNIDAD REYNOSA 1A.,11/04/2022,2022.0,LESIONES,CULPOSO,REYNOSA,25.9952366,-98.32048,25.9952366,-98.32048,True
UNIDAD REYNOSA 1A.,11/04/2022,2022.0,HOMICIDIO,CULPOSO,REYNOSA,26.0508275,-98.297791,26.0508275,-98.297791,True
UNIDAD MATAMOROS 2A.,11/04/2024,2024.0,HOMICIDIO,CULPOSO,MATAMOROS,000,000,0.0,0.0,False
UNIDAD CIUDAD MADERO 2A.,11/04/2024,2024.0,LESIONES,CULPOSO,CIUDAD MADERO,22.2473305622722,-97.8552295667573,22.2473305622722,-97.8552295667573,True
UGI VICTORIA 3A,11/04/2024,2024.0,LESIONES,CULPOSO,VICTORIA,23.734853,-99.144926,23.734853,-99.144926,True
UNIDAD NUEVO LAREDO 1A.,11/04/2025,2025.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.49688120992478,-99.5048984885216,27.49688120992478,-99.5048984885216,True
ATENCION VICTORIA,11/04/2026,2026.0,HOMICIDIO,CULPOSO,VICTORIA,0,0,0.0,0.0,False
UNIDAD MATAMOROS 3,11/04/2026,2026.0,HOMICIDIO,CULPOSO,MATAMOROS,25.810526469911117,-97.51990943213949,25.81052646991112,-97.51990943213949,True
UNIDAD VICTORIA 3A,11/05/2015,2015.0,LESIONES,CULPOSO,VICTORIA,23.7352103708249,-99.1404318809509,23.7352103708249,-99.1404318809509,True
UNIDAD VICTORIA 3A,11/05/2016,2016.0,HOMICIDIO,CULPOSO,VICTORIA,23.8454235769286,-99.1153473408303,23.8454235769286,-99.1153473408303,True
UNIDAD VICTORIA 2A,11/05/2017,2017.0,LESIONES,CULPOSO,VICTORIA,23.7353196332071,-99.1516971588135,23.7353196332071,-99.1516971588135,True
UNIDAD CIUDAD MADERO 2A.,11/05/2018,2018.0,HOMICIDIO,CULPOSO,CIUDAD MADERO,22.202567088091392,-97.85153945422088,22.202567088091392,-97.85153945422088,True
UNIDAD TAMPICO 2A.,11/05/2019,2019.0,LESIONES,CULPOSO,TAMPICO,22.31473567565516,-97.88707912822407,22.31473567565516,-97.88707912822407,True
UNIDAD REYNOSA 1A.,11/05/2019,2019.0,LESIONES,CULPOSO,REYNOSA,26.07485339472336,-98.26403617858888,26.07485339472336,-98.26403617858888,True
UNIDAD REYNOSA 1A.,11/05/2020,2020.0,HOMICIDIO,CULPOSO,REYNOSA,25.59129,98.14107,25.59129,-98.14107,True
UNIDAD TAMPICO 3A.,11/05/2020,2020.0,LESIONES,CULPOSO,TAMPICO,22.2660279,97.8645829,22.2660279,-97.8645829,True
UNIDAD MATAMOROS 2A.,11/05/2020,2020.0,HOMICIDIO,CULPOSO,MATAMOROS,25.246472766854737,-97.44253146171165,25.246472766854737,-97.44253146171164,True
UNIDAD MATAMOROS 2A.,11/05/2021,2021.0,HOMICIDIO,CULPOSO,MATAMOROS,25.826293874119546,-97.53283938973779,25.826293874119543,-97.5328393897378,True
UNIDAD VICTORIA 5A.,11/05/2021,2021.0,LESIONES,CULPOSO,VICTORIA,23.73792809192149,-99.15228456258775,23.73792809192149,-99.15228456258777,True
