ciudad,res,capa,objetivo,corrida,celdas,total_objetivo,empates,abc,abc_pes,abc_opt,cob_5,techo_5,cob_10,techo_10,cob_15,techo_15,cob_20,techo_20,rho,p
VICTORIA,9,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],522,176.0,0.868,0.2806,0.2992,0.262,28.4,43.2,43.2,64.2,51.3,79.0,62.5,93.8,0.456,1.282259148385804e-24
CIUDAD MADERO,10,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,1142,70.0,0.969,0.6993,0.795,0.6035,28.6,100.0,39.2,100.0,47.1,100.0,51.7,100.0,0.047,0.11619451207104602
CIUDAD MADERO,10,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,1142,70.0,0.99,0.7571,1.1589,0.3553,8.3,100.0,29.7,100.0,39.3,100.0,42.5,100.0,-0.344,1.2693015908825973e-11
CIUDAD MADERO,10,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),1142,29.0,0.969,0.583,0.6494,0.5166,31.0,100.0,38.2,100.0,47.5,100.0,49.4,100.0,0.097,0.0013415262479446993
CIUDAD MADERO,10,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],1142,29.0,0.99,0.218,0.3114,0.1247,27.2,100.0,48.0,100.0,63.6,100.0,76.2,100.0,0.086,0.1161206455035554
MATAMOROS,10,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,2636,248.0,0.992,0.9218,1.2178,0.6259,14.9,67.7,22.8,100.0,28.3,100.0,32.6,100.0,-0.225,1.0778323854477102e-18
MATAMOROS,10,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,2636,248.0,0.975,1.0327,1.1733,0.8921,11.3,67.7,21.0,100.0,27.6,100.0,31.2,100.0,-0.11,3.0209957359692156e-07
MATAMOROS,10,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),2636,332.0,0.992,0.7097,0.9505,0.4689,21.4,66.3,29.9,100.0,37.5,100.0,43.4,100.0,-0.11,2.3737344376568288e-05
MATAMOROS,10,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],2636,332.0,0.975,0.2778,0.3275,0.2281,33.4,66.3,51.7,100.0,63.9,100.0,72.9,100.0,0.327,5.130136525118865e-53
NUEVO LAREDO,10,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,2280,208.0,0.99,0.9798,1.2364,0.7233,9.5,77.9,16.2,100.0,23.9,100.0,31.0,100.0,-0.267,6.358032804515799e-26
NUEVO LAREDO,10,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,2280,208.0,0.989,1.03,1.2427,0.8173,13.7,77.9,19.7,100.0,23.8,100.0,27.3,100.0,-0.151,1.1377407559496544e-09
NUEVO LAREDO,10,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),2280,97.0,0.99,0.8337,1.0739,0.5936,13.6,100.0,24.8,100.0,32.4,100.0,37.9,100.0,-0.049,0.06178735068710624
NUEVO LAREDO,10,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],2280,97.0,0.989,0.3775,0.4829,0.2721,28.7,100.0,40.5,100.0,51.3,100.0,61.8,100.0,0.185,2.388145868581033e-13
REYNOSA,10,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,3227,324.0,0.993,1.0785,1.4056,0.7515,11.5,69.4,14.6,100.0,19.0,100.0,23.6,100.0,-0.341,3.2007617768363778e-53
