ciudad,res,capa,objetivo,corrida,celdas,total_objetivo,empates,abc,abc_pes,abc_opt,cob_5,techo_5,cob_10,techo_10,cob_15,techo_15,cob_20,techo_20,rho,p
MATAMOROS,9,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],840,333.0,0.902,0.2434,0.2577,0.229,26.1,45.0,45.9,67.9,57.1,80.5,66.9,93.1,0.489,3.8435098978407946e-45
TAMPICO,10,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,2236,165.0,0.978,0.6668,0.7368,0.5968,18.6,97.0,34.3,100.0,50.8,100.0,57.7,100.0,0.04,0.06665915171813785
TAMPICO,10,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,2236,165.0,0.982,0.7824,1.0183,0.5464,20.6,97.0,27.8,100.0,36.4,100.0,42.7,100.0,-0.081,0.005658405445519686
TAMPICO,10,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),2236,324.0,0.978,0.3856,0.4425,0.3287,30.2,65.4,46.7,100.0,57.9,100.0,65.3,100.0,0.285,4.995567475183286e-40
TAMPICO,10,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],2236,324.0,0.982,0.1663,0.2008,0.1318,39.2,65.4,60.2,100.0,72.2,100.0,79.7,100.0,0.413,2.491902678006625e-47
CIUDAD MADERO,10,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,1167,78.0,0.97,0.8213,0.9122,0.7305,25.6,100.0,35.9,100.0,42.3,100.0,46.5,100.0,-0.008,0.7886703505023936
CIUDAD MADERO,10,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,1167,78.0,0.991,0.8064,1.2411,0.3717,7.5,100.0,27.7,100.0,35.5,100.0,38.4,100.0,-0.404,3.8630647486948597e-16
CIUDAD MADERO,10,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),1167,29.0,0.97,0.5746,0.6408,0.5084,31.0,100.0,38.5,100.0,48.3,100.0,49.9,100.0,0.098,0.0010826914452144116
CIUDAD MADERO,10,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],1167,29.0,0.991,0.2133,0.3046,0.122,27.3,100.0,49.1,100.0,64.4,100.0,77.3,100.0,0.086,0.1161206455035554
REYNOSA,10,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,3333,350.0,0.993,1.1069,1.443,0.7707,10.7,66.3,13.7,100.0,18.0,100.0,22.5,100.0,-0.373,5.53137308158614e-66
REYNOSA,10,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,3333,350.0,0.984,1.0908,1.2715,0.9101,9.3,66.3,19.8,100.0,23.9,100.0,27.2,100.0,-0.244,5.817640287580748e-36
REYNOSA,10,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),3333,208.0,0.993,0.7894,1.0433,0.5356,22.9,96.2,29.9,100.0,36.2,100.0,42.5,100.0,-0.103,9.18390980966085e-06
REYNOSA,10,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],3333,208.0,0.984,0.3712,0.4594,0.2831,33.4,96.2,44.4,100.0,53.1,100.0,62.6,100.0,0.203,9.371989212619226e-24
VICTORIA,10,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,1862,167.0,0.989,1.0999,1.3479,0.8519,3.6,69.5,12.4,100.0,20.5,100.0,24.9,100.0,-0.298,4.675507537314686e-28
VICTORIA,10,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,1862,167.0,0.975,1.2348,1.4543,1.0154,7.5,69.5,13.3,100.0,17.3,100.0,18.2,100.0,-0.249,9.538069980829836e-21
VICTORIA,10,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),1862,177.0,0.989,0.6097,0.7772,0.4422,20.3,70.1,39.1,100.0,46.5,100.0,51.3,100.0,0.053,0.05936512957732965
VICTORIA,10,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],1862,177.0,0.975,0.2773,0.3323,0.2224,32.2,70.1,49.5,100.0,62.6,100.0,70.6,100.0,0.307,1.4718791450486263e-29
NUEVO LAREDO,10,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,2328,203.0,0.989,0.991,1.2394,0.7426,9.3,80.8,15.6,100.0,23.4,100.0,30.4,100.0,-0.257,5.000195023542362e-25
NUEVO LAREDO,10,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,2328,203.0,0.989,1.0183,1.2412,0.7954,14.1,80.8,20.0,100.0,23.8,100.0,27.4,100.0,-0.155,4.815530946841335e-10
NUEVO LAREDO,10,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),2328,94.0,0.989,0.8514,1.0889,0.6138,12.7,100.0,24.5,100.0,32.3,100.0,37.0,100.0,-0.049,0.057696750493133726
NUEVO LAREDO,10,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],2328,94.0,0.989,0.3592,0.4594,0.2591,30.3,100.0,42.3,100.0,53.8,100.0,63.1,100.0,0.188,1.2603520076045466e-13
MATAMOROS,10,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,2680,259.0,0.992,0.9408,1.2411,0.6406,14.3,66.4,22.0,100.0,27.2,100.0,31.4,100.0,-0.24,1.4071698174417073e-21
MATAMOROS,10,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,2680,259.0,0.975,1.0581,1.2043,0.912,11.0,66.4,20.3,100.0,26.7,100.0,30.2,100.0,-0.129,1.4961691558740483e-09
MATAMOROS,10,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),2680,333.0,0.992,0.7107,0.9516,0.4698,21.4,66.7,29.9,100.0,37.5,100.0,43.5,100.0,-0.108,2.670161642512356e-05
MATAMOROS,10,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],2680,333.0,0.975,0.277,0.3269,0.2271,33.7,66.7,51.7,100.0,64.0,100.0,72.8,100.0,0.324,3.111516879615182e-52
